Object	RA	e_RA	Dec	e_Dec	Distance	e_Distance	FeH	e_FeH	Parallax	e_Parallax	Tspec	e_Tspec	logg	e_logg
1.60800191128042E+018	214.55248342311	4.92222222222222E-08	52.61921162404	5.65555555555556E-08	475.035797	51.32164	nan	0	2.1103	0.231	nan	0	nan	0
1.60800328567001E+018	214.67520152037	2.78055555555556E-08	52.70118811717	2.79722222222222E-08	1505.44104	238.69885	-0.6042	0	0.6275	0.1225	3856.2522	0	4.8187	0
1.6080046944193E+018	214.6400311072	2.47777777777778E-08	52.73142865303	2.55833333333333E-08	1478.53711	209.94031	-1.4879	0	0.6355	0.1089	4492.6768	0	4.8721	0
1.6080139758444E+018	214.47423038365	8.05555555555556E-09	52.66542513856	9.05555555555556E-09	3210.72412	399.347045	-1.6314	0	0.2935	0.0362	5473.1201	0	4.238	0
1.60800441954156E+018	214.67626487852	8.99166666666667E-08	52.70964095331	9.61111111111111E-08	368.511902	60.398117	nan	0	2.8782	0.4081	nan	0	nan	0
1.60800449255661E+018	214.65985859072	1.34166666666667E-08	52.72788979815	1.34444444444444E-08	668.721497	26.7178955	-0.5796	0	1.4775	0.0584	4040.8479	0	4.0958	0
1.60801418200283E+018	214.46462056162	0.00000004	52.66303421053	4.33055555555556E-08	205.231064	7.4688565	-0.1972	0	4.8883	0.1753	6125.5239	0	4.1438	0
1.60800476743452E+018	214.61912034524	1.10277777777778E-08	52.75007598316	0.000000011	385.392853	6.52314749999999	-2.483	0	2.5515	0.0473	4352.5273	0	4.4925	0
1.60801407892361E+018	214.46083870513	3.11111111111111E-09	52.65398608257	3.47222222222222E-09	4893.604	371.621335	-0.7315	0	0.1798	0.0153	4829.3525	0	2.0946	0
1.60800187692068E+018	214.53952553332	1.82222222222222E-08	52.60629193905	1.91388888888889E-08	833.990723	58.7726445	0.1023	0	1.199	0.0825	4043.9324	0	4.3847	0
1.60801638102607E+018	214.54774388347	3.16944444444444E-08	52.75694714329	3.29722222222222E-08	485.533478	31.604172	-0.4469	0	2.0197	0.1385	3352.0999	0	4.5405	0
1.60800370228263E+018	214.69317297077	7.27777777777778E-09	52.71764271952	7.63888888888889E-09	2678.02954	219.793945	-0.8265	0	0.3509	0.0323	5771.2075	0	4.5044	0
1.6080161362122E+018	214.58889612398	4.78888888888889E-08	52.76078003653	4.95277777777778E-08	752.809204	119.545563	nan	0	1.2669	0.21	nan	0	nan	0
1.60800359920341E+018	214.70975620456	1.49722222222222E-08	52.69487264259	1.49444444444444E-08	1289.99316	93.25952	-1.5937	0	0.7604	0.0672	4773.7817	0	4.8324	0
1.60801620922738E+018	214.56837660363	5.31944444444444E-08	52.76135157888	0.000000055	858.098206	187.828614	-1.0918	0	1.3422	0.2318	3181.8247	0	3.906	0
1.60800136582043E+018	214.66715777347	8.02777777777778E-09	52.61547355952	8.69444444444445E-09	787.193604	21.36142	0.3169	0	1.2333	0.0367	4521.415	0	4.6392	0
1.60800479749854E+018	214.62951364331	2.42777777777778E-08	52.75903025101	2.42222222222222E-08	1349.55859	228.039185	-0.5302	0	0.6919	0.1045	4303.0293	0	4.7373	0
1.60801545331313E+018	214.45041939947	4.86111111111111E-09	52.72619095682	0.00000000525	658.018372	9.17394999999999	-0.0662	0	1.4981	0.0219	4903.2231	0	4.5654	0
1.60801651846502E+018	214.59545989719	3.05555555555556E-09	52.77159099141	3.08333333333333E-09	852.40625	9.67864950000001	-0.6142	0	1.1425	0.0129	5906.5991	0	4.2797	0
1.60800119402174E+018	214.63020940417	1.15277777777778E-08	52.58757251769	1.30277777777778E-08	649.717834	20.691223	-0.3351	0	1.5099	0.054	5247.4697	0	4.571	0
1.60800380536184E+018	214.70910872543	0.0000000075	52.73793885433	7.66666666666667E-09	1894.7981	103.277955	-0.4215	0	0.5009	0.0329	5614.2676	0	4.4738	0
1.60801655282476E+018	214.6194687972	2.21666666666667E-08	52.77572398127	2.18055555555556E-08	289.62561	7.27784700000001	-0.9283	0	3.4189	0.0937	3381.8979	0	4.6039	0
1.6079998196322E+018	214.71148101535	1.50555555555556E-08	52.616943961	1.66666666666667E-08	762.333313	32.15213	0.1056	0	1.2867	0.0679	4201.395	0	4.5214	0
1.60801710258057E+018	214.50306661384	8.44444444444445E-09	52.77252762574	0.00000000925	778.330994	24.596344	-0.6824	0	1.2651	0.0372	4390.6665	0	4.4439	0
1.60800459563583E+018	214.69372778169	5.58333333333333E-09	52.75619547577	5.58333333333333E-09	169.433609	0.774315000000001	0.074	0	5.8686	0.0243	3631.2207	0	4.6949	0
1.608001159662E+018	214.66853106472	1.23333333333333E-08	52.5910771022	1.34722222222222E-08	315.401489	6.28062450000002	nan	0	3.1446	0.0569	nan	0	nan	0
1.60800126274122E+018	214.67059557363	2.52777777777778E-09	52.59156991707	2.88888888888889E-09	308.611633	1.11361650000001	-0.0538	0	3.2231	0.0123	5754.731	0	4.4959	0
1.60800102222305E+018	214.61005349836	0.000000008	52.57515239009	8.88888888888889E-09	628.389404	13.601166	0.271	0	1.5672	0.0381	4343.5044	0	4.613	0
1.60801662154424E+018	214.58546249647	2.38888888888889E-09	52.78837096934	0.0000000025	263.877747	0.740524000000022	0.0676	0	3.7752	0.0105	5358.5264	0	4.5264	0
1.60792103275305E+018	214.39982522545	4.94444444444445E-09	52.66283449912	5.30555555555556E-09	1037.32751	23.184265	0.094	0	0.9302	0.0219	5380.0386	0	4.4449	0
1.60800081606462E+018	214.62893635006	8.11111111111111E-09	52.57412075501	8.97222222222222E-09	670.334167	18.863251	0.4881	0	1.4594	0.0384	4453.0181	0	4.591	0
1.60801710258057E+018	214.49965752534	0.000000003	52.78772011645	3.13888888888889E-09	269.204651	0.934005500000012	-0.4154	0	3.6658	0.013	6157.1279	0	4.3085	0
1.60800081606462E+018	214.63354198299	1.95277777777778E-08	52.56720516962	2.24444444444444E-08	2046.90857	296.0495	-0.5575	0	0.4524	0.0953	5018.2822	0	4.6935	0
1.60801682770267E+018	214.58323528664	2.58333333333333E-09	52.79940159773	2.72222222222222E-09	372.593414	1.467026	0.0125	0	2.639	0.0115	5776.2158	0	4.2386	0
1.60801685776673E+018	214.54414864925	7.09166666666667E-08	52.79914057911	0.000000074	704.891052	229.1436475	nan	0	1.5885	0.3045	nan	0	nan	0
1.60801053557486E+018	214.69435920799	1.09055555555556E-07	52.78339034512	1.09055555555556E-07	472.766144	92.7638705	nan	0	2.1409	0.4653	nan	0	nan	0
1.60800088478409E+018	214.58990206344	1.14166666666667E-08	52.55501988137	1.26944444444444E-08	1250.66211	90.5704950000001	-0.293	0	0.7754	0.0519	4694.6162	0	4.6548	0
1.60801717130042E+018	214.48347221574	1.04583333333333E-07	52.79420766625	1.12055555555556E-07	374.12149	62.42749	nan	0	2.9925	0.4575	nan	0	nan	0
1.608016823407E+018	214.57393021287	3.26944444444444E-08	52.81064170223	3.20277777777778E-08	555.443909	41.594696	-0.1013	0	1.7853	0.1395	3331.0369	0	4.9081	0
1.60790780425176E+018	214.51711275485	4.50833333333333E-08	52.55446491706	5.06944444444444E-08	306.366272	19.427368	nan	0	3.2484	0.2065	nan	0	nan	0
1.60792106711279E+018	214.36269587584	4.16666666666667E-09	52.66499153032	4.11111111111111E-09	1159.8595	25.65161	-0.4539	0	0.8312	0.0181	5449.0015	0	4.3053	0
1.60801675468752E+018	214.6139849065	5.13055555555556E-08	52.81074564917	5.05555555555556E-08	800.048279	143.480072	nan	0	1.2161	0.2162	nan	0	nan	0
1.60801693078188E+018	214.59364269552	1.06111111111111E-07	52.81355066406	1.13055555555556E-07	341.956879	52.670227	nan	0	3.0936	0.4645	nan	0	nan	0
1.60801689642216E+018	214.56316197545	1.00277777777778E-08	52.81502850528	9.91666666666667E-09	1025.36853	47.840056	-0.202	0	0.9568	0.0428	4573.6768	0	4.5	0
1.60799971225716E+018	214.77919205975	6.18611111111111E-08	52.6177159626	6.93333333333333E-08	670.464233	132.9079895	nan	0	1.5712	0.2811	nan	0	nan	0
1.60800067432979E+018	214.60977551992	4.43611111111111E-08	52.54347205616	0.000000049	147.652756	4.01679950000001	nan	0	6.7796	0.2038	nan	0	nan	0
1.60801737745848E+018	214.47490358536	1.24722222222222E-08	52.8041182564	1.24722222222222E-08	1561.36963	135.219485	-0.0707	0	0.6228	0.053	4835.8579	0	4.5511	0
1.6080094017082E+018	214.7892808876	3.25833333333333E-08	52.73357053662	3.36111111111111E-08	365.495789	20.2729645	-0.2959	0	2.675	0.1439	3388.8896	0	4.5613	0
1.60799806728589E+018	214.74168123854	1.65833333333333E-08	52.57945926431	1.82777777777778E-08	2725.22681	524.9906	-2.1218	0	0.3566	0.0744	5756.9175	0	4.6593	0
1.60791965406715E+018	214.39507276717	1.58611111111111E-08	52.58562192145	1.73333333333333E-08	894.0578	58.755676	-0.146	0	1.098	0.071	4117.9561	0	4.6608	0
1.60790704833957E+018	214.54538055303	4.69444444444444E-09	52.53578726143	5.11111111111111E-09	550.886292	4.85494999999997	-0.0242	0	1.7854	0.0211	4597.4761	0	4.5665	0
1.60801084910819E+018	214.67182313055	1.06111111111111E-08	52.81483888426	0.00000001075	3913.82056	608.22388	-0.9124	0	0.2316	0.0456	5650.5405	0	4.4863	0
1.60799779240765E+018	214.66295355423	6.22222222222222E-09	52.54319219287	6.91666666666667E-09	433.782288	4.99127199999998	0.4897	0	2.2699	0.0294	4432.5767	0	4.6147	0
1.60801874755247E+018	214.38919649805	9.16944444444444E-08	52.77282673707	9.56111111111111E-08	338.587738	48.2371215	nan	0	3.1188	0.4122	nan	0	nan	0
1.60790794169275E+018	214.46932411022	1.11388888888889E-08	52.54848190108	1.21666666666667E-08	667.013	21.789734	0.1384	0	1.4685	0.0498	4158.7358	0	4.4502	0
1.60801871319258E+018	214.37523581673	4.25555555555556E-08	52.76211767026	4.38333333333333E-08	484.077698	42.1832425	nan	0	2.0601	0.191	nan	0	nan	0
1.60801885492759E+018	214.41388464833	4.66944444444444E-08	52.78949301913	4.93888888888889E-08	597.126648	85.400787	nan	0	1.6172	0.2133	nan	0	nan	0
1.60799775804791E+018	214.66060198745	2.56111111111111E-08	52.53824814087	3.02222222222222E-08	255.529419	8.011864	-0.7617	0	3.8695	0.1233	3631.8687	0	4.2971	0
1.60800957779789E+018	214.7908570631	3.41666666666667E-09	52.76028570481	3.61111111111111E-09	815.695557	10.1159060000001	-0.3205	0	1.1997	0.015	5778.2139	0	4.4133	0
1.60799799856607E+018	214.74863859783	1.16666666666667E-08	52.56704597817	1.30833333333333E-08	578.406311	16.670624	0.0022	0	1.7047	0.0539	4145.3193	0	4.5185	0
1.60801699950136E+018	214.573692904	6.61111111111111E-09	52.83360154455	6.61111111111111E-09	503.690216	7.0728915	0.3444	0	1.9563	0.0283	4452.1528	0	4.6519	0
1.60799799427172E+018	214.74791083583	5.59166666666667E-08	52.56640949634	6.29722222222222E-08	735.127625	127.8603515	nan	0	1.3233	0.2544	nan	0	nan	0
1.60802260013872E+018	214.65216975456	3.47222222222222E-09	52.82779401717	3.63888888888889E-09	822.791748	10.2564695	-0.3344	0	1.1884	0.0154	5867.8223	0	4.5439	0
1.6080170338611E+018	214.57922253162	3.11111111111111E-09	52.8352268702	3.22222222222222E-09	495.473175	3.45172099999999	-0.2689	0	1.9877	0.0137	5850.0483	0	4.3588	0
1.60800981831606E+018	214.78109734602	1.50833333333333E-08	52.77504829798	1.51944444444444E-08	611.18512	21.7951965	-0.0107	0	1.6082	0.0657	4805.1758	0	4.1118	0
1.60792055171672E+018	214.33274733543	1.07222222222222E-08	52.63127799649	1.01944444444444E-08	1645.31201	114.918885	-0.8507	0	0.5905	0.0455	5417.4116	0	4.644	0
1.6079076324551E+018	214.44727627515	1.34444444444444E-08	52.54501223663	1.47222222222222E-08	1977.25586	212.07544	-0.2779	0	0.4709	0.0604	4779.1523	0	4.5159	0
1.60801088346795E+018	214.70705100925	3.02777777777778E-09	52.81557791852	3.02777777777778E-09	667.88916	6.55087300000002	-0.0908	0	1.4733	0.0132	5595.5991	0	4.393	0
1.60790762815875E+018	214.44539968544	4.72222222222222E-08	52.54334723685	0.00000004625	752.91156	116.5701905	nan	0	1.2838	0.1969	nan	0	nan	0
1.60792433128794E+018	214.32186510198	0.000000007	52.71499064318	6.72222222222222E-09	1060.4585	32.87964	-0.4234	0	0.9235	0.0297	5159.1348	0	4.6598	0
