U     B-V     U-B     V-I     V-K     Mv   CL Typ    Teff   logg  Pop  Age     Mass   Mbol    Radius   [M/H]    [a/Fe]  longitude   latitude   RAJ2000     DECJ2000   Dist     x_Gal    y_Gal    z_Gal     Av       errMv     errMass     errAge     errTeff    errLogg    errMet     errAlphaFe     errBand_U  errBand_B  errBand_V  errBand_I  errBand_K                                                                             
  17.946  1.458   1.226   1.930   3.818  10.21  5 7.10    3727.  5.12   8  9.9737  0.506    8.902    0.353  -0.581   0.265    96.694572   59.666054  214.541290   52.818699   0.1002  -8.0059   0.0502   0.1014   0.059    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0070    -0.0358    -0.0064    -0.0003    -0.0052
  24.160  1.721   1.520   3.056   5.729  14.92  5 7.50    3031.  5.15   3  1.5413  0.162   12.068    0.123   0.159   0.031    97.078056   59.676708  214.285416   52.935955   0.1563  -8.0097   0.0783   0.1499   0.066    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0070    -0.0230    -0.0402     0.0151     0.0064
  24.132  1.716   1.464   3.131   5.844  14.87  5 7.50    3056.  5.23   2  0.0655  0.313   11.913    0.131   0.023  -0.024    97.509735   59.877495  213.795273   52.920296   0.1579  -8.0104   0.0786   0.1516   0.059    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0102    -0.0070     0.0330    -0.0010    -0.0037
  23.796  1.719   1.444   3.141   5.812  14.74  5 7.50    2999.  5.05   5  3.8284  0.127   11.911    0.131   0.162  -0.026    97.312309   59.636314  214.177719   53.042908   0.1455  -8.0094   0.0730   0.1406   0.065    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0272     0.0075     0.0172    -0.0269    -0.0048
  23.501  1.797   1.480   2.969   5.523  14.16  5 7.45    3100.  5.15   7  8.5562  0.101   11.445    0.158  -0.335  -0.016    97.647995   59.795204  213.792374   53.027985   0.1597  -8.0107   0.0796   0.1530   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0116     0.0015    -0.0190     0.0065    -0.0026
  22.336  1.664   1.356   2.909   5.472  13.33  5 7.45    3092.  5.10   5  3.8809  0.258   10.906    0.196  -0.066   0.056    96.406197   59.976822  214.388580   52.488533   0.1521  -8.0085   0.0756   0.1467   0.065    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0076    -0.0038     0.0131    -0.0084    -0.0199
  22.010  1.629   1.304   2.772   5.338  13.10  5 7.40    3224.  5.10   4  2.5177  0.025   10.610    0.220  -0.062   0.010    96.419174   59.566223  214.823624   52.803093   0.1518  -8.0086   0.0764   0.1459   0.065    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0343    -0.0184     0.0019     0.0447    -0.0196
  20.516  1.459   1.274   2.505   4.814  11.72  5 7.30    3351.  4.85   3  1.6066  0.401    9.859    0.282   0.047   0.006    97.474457   59.657906  214.049850   53.078606   0.1590  -8.0104   0.0796   0.1522   0.063    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0499     0.0090    -0.0027     0.0129    -0.0120
  20.475  1.616   1.258   2.369   4.613  11.81  5 7.30    3417.  4.88   6  6.0618  0.115    9.739    0.293  -0.329   0.016    96.796387   59.463921  214.694733   53.005672   0.1408  -8.0085   0.0710   0.1362   0.064    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0078    -0.0131    -0.0188    -0.0206    -0.0367
  16.638  1.360   1.274   1.542   3.203   8.02  5 6.70    4102.  4.70   5  4.0026  0.805    7.207    0.628   0.041  -0.020    97.198341   59.437824  214.463821   53.157936   0.1512  -8.0096   0.0763   0.1452   0.064    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0106     0.0490     0.0164     0.0054     0.0068
  12.649  0.799   0.420   0.933   2.062   5.68  5 6.00    5077.  4.87   7  8.5928  0.959    5.464    0.904  -0.432   0.042    95.499779   59.567940  215.394791   52.491978   0.1357  -8.0066   0.0684   0.1320   0.065    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0224    -0.0065     0.0230    -0.0271     0.0219
  17.479  1.305   1.163   1.703   3.451   8.99  5 6.95    3918.  4.70   8 10.1253  0.359    8.012    0.468  -0.290   0.238    96.525192   59.622437  214.695709   52.795853   0.1519  -8.0087   0.0763   0.1460   0.064    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0125     0.0028     0.0547     0.0122     0.0100
  12.558  0.639   0.196   0.806   1.735   5.65  5 5.40    5566.  4.33   8 10.0277  0.853    5.438    0.778  -0.248   0.204    97.280190   59.590046  214.247757   53.068024   0.1570  -8.0101   0.0788   0.1504   0.067    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0015    -0.0277     0.0278     0.0030     0.0292
  22.916  1.618   1.376   2.858   5.415  13.49  5 7.45    3153.  5.15   6  5.9935  0.223   10.831    0.202  -0.084   0.012    96.803131   60.192436  213.911667   52.452583   0.1859  -8.0109   0.0918   0.1763   0.066    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0110    -0.0371     0.0216     0.0287     0.0004
  21.261  1.564   1.254   2.549   4.928  12.33  5 7.35    3381.  5.03   6  5.9890  0.405   10.045    0.265  -0.141   0.028    96.469391   59.290947  215.092255   53.027130   0.1628  -8.0094   0.0826   0.1550   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0112    -0.0291    -0.0128    -0.0054    -0.0213
  20.331  1.510   1.105   2.423   4.732  11.52  5 7.30    3450.  5.02   5  3.8843  0.417    9.675    0.299  -0.060   0.046    96.301918   59.694462  214.758163   52.667492   0.1641  -8.0091   0.0823   0.1566   0.068    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0337     0.0211     0.0494     0.0179    -0.0031
  19.193  1.425   1.210   2.106   4.115  10.40  5 7.20    3603.  4.77   7  8.2769  0.546    8.958    0.377   0.163  -0.033    96.970856   59.464855  214.581619   53.062580   0.1641  -8.0101   0.0827   0.1563   0.064    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0379    -0.0196     0.0127     0.0133     0.0094
  19.545  1.535   1.151   2.105   4.163  10.44  5 7.15    3536.  4.72   5  3.9158  0.526    8.805    0.396  -0.251  -0.003    97.169281   59.539669  214.373337   53.070538   0.1847  -8.0117   0.0929   0.1742   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0132     0.0244     0.0112    -0.0168     0.0085
  16.886  1.249   1.208   1.337   3.081   8.09  5 6.70    4177.  4.68   4  2.4839  0.559    7.207    0.628   0.118  -0.022    96.333427   60.037048  214.369232   52.419167   0.1802  -8.0099   0.0895   0.1711   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0086    -0.0171    -0.0142     0.0363     0.0302
  16.775  1.253   1.170   1.364   3.113   7.98  5 6.70    4163.  4.67   4  2.5404  0.678    7.207    0.628  -0.259   0.013    96.802101   60.119762  213.989090   52.507874   0.1829  -8.0108   0.0905   0.1736   0.065    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0195    -0.0100    -0.0062     0.0387     0.0060
  15.962  1.214   1.173   1.315   2.865   7.30  5 6.50    4329.  4.62   7  8.5134  0.696    6.724    0.702   0.066  -0.023    96.075302   60.018524  214.548615   52.348583   0.1732  -8.0092   0.0861   0.1650   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0015     0.0164     0.0138    -0.0246     0.0163
  15.205  1.024   0.973   1.083   2.448   6.79  5 6.40    4549.  4.55   3  1.3862  0.978    6.289    0.769  -0.285   0.031    95.241219   59.820328  215.273926   52.217617   0.1855  -8.0085   0.0929   0.1754   0.066    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0102    -0.0116     0.0083    -0.0243     0.0440
  20.698  0.388  -0.506   0.558   1.125  14.51  6 9.10    6914.  8.61   5  4.1089  1.130   14.580    0.008  -0.385   0.014    96.894577   60.017624  214.039200   52.615738   0.1756  -8.0105   0.0871   0.1671   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0101    -0.0102     0.0037     0.0071    -0.0231
  20.773  1.538   1.250   2.094   4.128  11.63  5 7.20    3543.  4.91   8  9.9961  0.366    9.796    0.258  -0.607   0.191    96.970055   60.019939  213.989151   52.638203   0.1809  -8.0110   0.0897   0.1717   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0048    -0.0538    -0.0030     0.0289     0.0018
  11.793  0.559  -0.030   0.734   1.572   5.02  5 5.05    5974.  4.44   8  9.9589  0.842    4.886    0.902  -0.282   0.263    96.893814   59.619026  214.465012   52.919857   0.1693  -8.0103   0.0850   0.1611   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0144     0.0038     0.0218    -0.0208    -0.0030
  24.437  1.648   1.468   3.088   5.676  14.56  5 7.45    3128.  5.10   4  2.3808  0.074   11.598    0.148  -0.008   0.015    96.565544   59.858200  214.416168   52.630554   0.2157  -8.0124   0.1076   0.2016   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0056    -0.0152     0.0175    -0.0351     0.0034
  24.012  1.650   1.448   3.045   5.594  14.26  5 7.45    3025.  5.19   3  1.3541  0.192   11.521    0.153   0.069  -0.012    96.299812   59.413208  215.066071   52.878231   0.2074  -8.0116   0.1049   0.1935   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0124    -0.0175    -0.0054    -0.0309     0.0265
  23.063  1.558   1.366   2.870   5.409  13.45  5 7.45    3195.  5.03   6  6.0936  0.077   10.831    0.202   0.261   0.007    96.211029   59.792042  214.709213   52.563881   0.2089  -8.0114   0.1045   0.1955   0.067    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0011     0.0089     0.0203    -0.0047     0.0409
  21.641  1.592   1.272   2.449   4.743  12.02  5 7.30    3348.  5.09   7  8.7056  0.272    9.921    0.276  -0.343  -0.001    97.370956   59.489807  214.295959   53.174461   0.2158  -8.0141   0.1087   0.2010   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0055    -0.0153     0.0112     0.0098    -0.0004
  20.873  1.541   1.182   2.402   4.684  11.63  5 7.30    3469.  4.97   5  4.0055  0.436    9.679    0.298  -0.029   0.052    97.590096   59.613651  214.021545   53.149933   0.1971  -8.0132   0.0988   0.1850   0.068    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0187    -0.0085    -0.0252    -0.0258    -0.0141
  20.641  1.537   1.184   2.306   4.581  11.30  5 7.25    3507.  5.03   7  8.6062  0.333    9.499    0.316  -0.048   0.034    96.423958   60.224823  214.112854   52.306095   0.2025  -8.0113   0.0999   0.1907   0.067    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0229     0.0075     0.0211     0.0144    -0.0318
  20.110  1.522   1.148   2.170   4.374  10.91  5 7.20    3506.  4.93   3  1.4991  0.349    9.190    0.348  -0.064   0.038    96.259499   59.936741  214.522827   52.470791   0.1948  -8.0106   0.0970   0.1836   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0114     0.0084     0.0099    -0.0116    -0.0174
  19.197  1.437   1.236   1.960   4.004   9.78  5 7.10    3612.  4.81   5  4.0849  0.409    8.430    0.448  -0.100   0.028    95.788689   59.504921  215.285736   52.637005   0.2143  -8.0110   0.1082   0.1996   0.072    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0049    -0.0303     0.0200     0.0163    -0.0019
  18.495  1.450   1.231   1.798   3.777   9.32  5 7.05    3835.  4.65   7  8.6455  0.689    8.072    0.500   0.008  -0.019    96.424004   59.083309  215.349945   53.167564   0.1939  -8.0111   0.0990   0.1814   0.068    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0054     0.0089    -0.0136    -0.0112    -0.0052
  14.347  0.951   0.677   0.978   2.341   6.14  5 6.20    4891.  4.61   6  6.0440  0.861    5.891    0.833  -0.258   0.015    96.396454   60.212360  214.143066   52.306686   0.1991  -8.0110   0.0983   0.1878   0.067    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0077     0.0155     0.0107    -0.0082    -0.0423
  20.963  0.426  -0.586   0.577   1.087  14.62  6 9.10    6921.  8.50   5  3.9661  0.932   14.580    0.008   0.025   0.072    96.312004   60.289536  214.113068   52.220814   0.1936  -8.0106   0.0954   0.1832   0.066    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0295     0.0280     0.0007     0.0010    -0.0074
  22.165  0.640  -0.047   0.899   1.670  14.88  6 9.10    5652.  8.38   6  5.8936  0.861   14.970    0.009   0.012   0.043    96.489685   59.657578  214.680084   52.757542   0.2086  -8.0119   0.1047   0.1950   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0110    -0.0187     0.0236    -0.0093    -0.0082
  20.555  1.545   1.195   2.168   4.266  11.30  5 7.20    3474.  4.99   8  9.9470  0.118    9.796    0.258  -0.433   0.202    96.292282   59.921284  214.519119   52.493237   0.1924  -8.0106   0.0958   0.1815   0.068    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0107     0.0105     0.0211     0.0086    -0.0134
  18.974  1.409   1.187   1.803   3.673   9.63  5 7.05    3736.  4.96   8  9.9437  0.200    8.454    0.409  -0.309   0.216    96.184525   59.229973  215.340652   52.976376   0.2145  -8.0118   0.1091   0.1993   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0080     0.0018     0.0132    -0.0074    -0.0051
  16.332  1.131   0.990   1.182   2.749   7.55  5 6.55    4429.  4.75   8  9.9841  0.603    7.018    0.590  -0.385   0.218    95.850822   60.081581  214.618240   52.227261   0.2064  -8.0105   0.1024   0.1939   0.068    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0139     0.0253     0.0210     0.0133    -0.0248
  15.355  1.022   0.611   1.046   2.582   7.20  5 6.40    4657.  4.60   8 10.1117  0.537    6.728    0.618  -1.032   0.281    95.431061   59.756901  215.228470   52.328835   0.1947  -8.0093   0.0976   0.1832   0.078    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0428    -0.0027    -0.0083     0.0069    -0.0588
  12.718  0.626   0.131   0.765   1.620   5.24  5 5.15    5796.  4.50   8 10.0606  0.790    5.074    0.850   0.030   0.088    96.144608   59.731133  214.816635   52.587635   0.2095  -8.0113   0.1050   0.1959   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0064     0.0087     0.0393    -0.0054    -0.0078
  24.248  1.647   1.445   3.095   5.665  14.27  5 7.45    3117.  5.14   5  4.0589  0.196   11.521    0.153   0.098   0.040    96.791756   59.685417  214.458786   52.835880   0.2257  -8.0135   0.1131   0.2098   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0162     0.0054     0.0448    -0.0261     0.0399
  24.326  1.773   1.494   2.972   5.497  14.29  5 7.45    3087.  4.94   5  4.1209  0.266   11.445    0.158  -0.210   0.037    96.960556   59.977585  214.040024   52.667610   0.2212  -8.0134   0.1099   0.2065   0.068    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0104    -0.0281    -0.0190     0.0018     0.0089
  24.217  1.706   1.390   2.983   5.572  14.12  5 7.45    3100.  4.98   6  6.1320  0.097   11.287    0.168   0.165  -0.057    96.859528   59.653191  214.450272   52.882599   0.2448  -8.0148   0.1228   0.2263   0.072    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0025     0.0251    -0.0185    -0.0238    -0.0132
  23.745  1.682   1.330   2.883   5.493  13.87  5 7.45    3141.  4.97   3  1.5283  0.286   11.059    0.184   0.065   0.021    96.640419   59.693893  214.545609   52.779766   0.2319  -8.0135   0.1162   0.2152   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0168    -0.0097    -0.0328     0.0094    -0.0023
  23.256  1.594   1.429   2.913   5.489  13.40  5 7.45    3174.  5.12   4  2.5155  0.203   10.982    0.190  -0.115   0.022    95.374901   59.683014  215.344147   52.364395   0.2237  -8.0106   0.1124   0.2081   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0204    -0.0591     0.0037     0.0057     0.0142
  23.561  1.735   1.376   2.864   5.282  13.49  5 7.45    3156.  4.99   5  3.9320  0.241   10.831    0.202  -0.272   0.036    95.993011   59.985432  214.635010   52.346352   0.2371  -8.0124   0.1180   0.2203   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0271     0.0172     0.0144    -0.0062     0.0320
  22.423  1.580   1.257   2.704   5.153  12.54  5 7.35    3323.  5.01   7  8.4812  0.154   10.295    0.244   0.010   0.028    96.829460   60.223938  213.862045   52.436852   0.2450  -8.0145   0.1208   0.2277   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0091     0.0029     0.0280     0.0063    -0.0044
  21.542  1.527   1.236   2.437   4.753  11.76  5 7.30    3326.  4.94   7  8.4886  0.316    9.801    0.287  -0.378  -0.010    97.095329   59.658165  214.294098   52.955761   0.2401  -8.0150   0.1203   0.2222   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0061    -0.0225     0.0459     0.0184    -0.0278
  20.989  1.491   1.188   2.275   4.501  11.38  5 7.25    3397.  5.07   7  8.5552  0.174    9.499    0.316   0.126  -0.037    97.589470   59.687145  213.944229   53.092937   0.2361  -8.0157   0.1181   0.2188   0.077    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0120    -0.0127    -0.0122     0.0337    -0.0020
  20.737  1.575   1.134   2.255   4.480  11.03  5 7.25    3475.  5.01   3  1.6277  0.315    9.441    0.321  -0.115  -0.005    96.031883   59.516861  215.120987   52.710392   0.2446  -8.0130   0.1234   0.2258   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0056     0.0257    -0.0105     0.0032     0.0120
  20.706  1.525   1.143   2.212   4.412  11.03  5 7.25    3458.  4.77   7  8.4887  0.349    9.383    0.327   0.229   0.044    96.531502   59.382744  214.952209   52.978882   0.2445  -8.0142   0.1237   0.2254   0.078    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0116     0.0143    -0.0093     0.0276    -0.0033
  19.412  1.441   1.218   1.919   3.922   9.82  5 7.10    3672.  4.85   5  3.9211  0.545    8.427    0.448   0.087   0.034    97.146469   59.470642  214.462173   53.115849   0.2366  -8.0150   0.1193   0.2188   0.065    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0042    -0.0071    -0.0035     0.0235     0.0051
  19.234  1.542   1.225   1.850   3.799   9.53  5 7.10    3722.  4.97   7  8.5121  0.598    8.282    0.469  -0.459   0.044    96.720230   59.578239  214.619766   52.893776   0.2406  -8.0143   0.1210   0.2225   0.077    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0198     0.0103    -0.0482     0.0234     0.0214
  18.329  1.326   1.250   1.612   3.517   8.72  5 7.00    3920.  4.69   6  5.9508  0.475    7.681    0.556  -0.045   0.019    96.013260   59.836227  214.784119   52.465069   0.2443  -8.0129   0.1221   0.2262   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0106     0.0130     0.0239    -0.0208    -0.0302
  16.428  1.123   1.106   1.116   2.661   7.20  5 6.50    4345.  4.47   6  5.9303  0.836    6.587    0.722  -0.238   0.034    96.247231   60.033020  214.426926   52.394054   0.2448  -8.0133   0.1215   0.2271   0.078    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0037    -0.0195    -0.0251    -0.0020    -0.0139
  16.470  1.095   1.164   1.193   2.745   7.27  5 6.50    4413.  4.79   6  5.9331  0.587    6.654    0.712  -0.079   0.041    97.424583   59.691891  214.046143   53.036366   0.2348  -8.0153   0.1175   0.2177   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0427    -0.0308     0.0099    -0.0102    -0.0026
  15.590  1.053   0.931   1.053   2.534   6.77  5 6.40    4536.  4.55   2  0.0859  0.798    6.289    0.769   0.073   0.011    96.933174   60.215179  213.806366   52.476608   0.2218  -8.0133   0.1094   0.2075   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0270     0.0282     0.0295     0.0317    -0.0140
  13.465  0.704   0.243   0.913   2.010   5.48  5 5.80    5463.  4.53   7  8.4510  0.880    5.203    0.946  -0.414   0.058    97.152512   59.962749  213.934006   52.740578   0.2403  -8.0150   0.1193   0.2230   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0147     0.0110     0.0592    -0.0091    -0.0197
  13.283  0.793   0.203   0.791   1.790   5.30  5 5.60    5432.  4.48   5  4.2045  0.917    5.028    0.972  -0.295  -0.011    96.594910   59.551212  214.728607   52.872814   0.2425  -8.0141   0.1221   0.2241   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0195     0.0503    -0.0116     0.0098     0.0154
  12.378  0.706   0.198   0.742   1.592   4.43  5 5.00    5733.  4.33   6  6.0570  0.917    4.381    1.192   0.129  -0.051    96.062019   59.809052  214.783356   52.501659   0.2500  -8.0133   0.1250   0.2311   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0095     0.0089    -0.0168    -0.0203    -0.0069
  11.122  0.500   0.050   0.600   1.265   3.61  5 4.60    6346.  4.34   4  2.3899  1.268    3.453    1.520   0.156  -0.009    97.481819   59.573608  214.134552   53.145947   0.2377  -8.0157   0.1194   0.2200   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0201    -0.0250     0.0056    -0.0195    -0.0162
  20.056  1.522   1.128   1.781   3.654  10.44  5 7.10    3716.  4.99   8  9.9976  0.224    9.052    0.334  -1.010   0.325    97.160042   59.442017  214.484085   53.142178   0.2405  -8.0152   0.1213   0.2221   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0232    -0.0031    -0.0053     0.0354     0.0238
  19.679  1.496   1.187   1.911   3.797  10.10  5 7.10    3733.  4.93   8 10.1810  0.407    8.902    0.353  -0.614   0.226    97.174408   59.906750  213.979248   52.790649   0.2312  -8.0145   0.1150   0.2151   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0028    -0.0000     0.0000    -0.0120    -0.0195
  12.672  0.644   0.118   0.729   1.599   5.09  5 5.15    5886.  4.54   8 10.0072  0.835    5.074    0.850   0.142   0.096    96.578911   59.877380  214.387207   52.620365   0.2220  -8.0128   0.1107   0.2070   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0064     0.0070     0.0141     0.0016    -0.0118
  21.889  0.574  -0.222   0.862   1.801  14.72  6 9.00    5607.  7.96   8  9.9566  0.714   14.437    0.013  -0.325   0.193    96.124062   59.584827  214.988922   52.690525   0.2234  -8.0121   0.1124   0.2076   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0183    -0.0052    -0.0025     0.0034    -0.0217
  24.356  1.747   1.301   3.000   5.639  14.13  5 7.45    3135.  5.12   5  3.8182  0.045   11.287    0.168  -0.185  -0.011    96.020348   59.360340  215.300430   52.823292   0.2631  -8.0141   0.1333   0.2413   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0709     0.0391     0.0090    -0.0141    -0.0338
