B     B-V     U-B     V-I     V-K     Mv   CL Typ    Teff   logg  Pop  Age     Mass   Mbol    Radius   [M/H]    [a/Fe]  longitude   latitude   RAJ2000     DECJ2000   Dist     x_Gal    y_Gal    z_Gal     Av       errMv     errMass     errAge     errTeff    errLogg    errMet     errAlphaFe     errBand_B  errBand_U  errBand_V  errBand_I  errBand_K                                                                             
  15.377  1.263   1.267   1.425   3.006   7.69  5 6.50    4221.  4.65   5  4.0134  0.696    6.937    0.669   0.089  -0.022    95.241219   59.820328  215.273926   52.217617   0.1855  -8.0085   0.0929   0.1754   0.066    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0015     0.0164     0.0138    -0.0246     0.0163
  14.483  1.160   0.988   1.210   2.737   7.03  5 6.50    4344.  4.67   6  6.1132  0.766    6.587    0.722  -0.417   0.036    96.894577   60.017624  214.039200   52.615738   0.1756  -8.0105   0.0871   0.1671   0.076    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0084    -0.0060    -0.0088    -0.0102     0.0119
  14.592  1.097   0.963   1.157   2.585   7.13  5 6.40    4462.  4.58   7  8.3862  0.958    6.443    0.744  -0.415   0.033    96.970055   60.019939  213.989151   52.638203   0.1809  -8.0110   0.0897   0.1717   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0102    -0.0116     0.0083    -0.0243     0.0440
  10.177  0.559   0.019   0.595   1.312   3.42  5 4.70    6191.  4.25   5  4.1270  1.157    3.335    1.680  -0.011   0.076    96.893814   59.619026  214.465012   52.919857   0.1693  -8.0103   0.0850   0.1611   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0130    -0.0227    -0.0242    -0.0059     0.0162
  19.129  1.565   1.198   2.221   4.238  11.31  5 7.20    3642.  5.00   8  9.9589  0.235    9.796    0.258  -0.282   0.263    95.989113   59.384014  215.293930   52.795040   0.1709  -8.0091   0.0866   0.1621   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0144     0.0038     0.0218    -0.0208    -0.0030
  17.467  1.447   1.162   1.827   3.667   9.74  5 7.05    3708.  4.97   8 10.1266  0.593    8.604    0.391  -0.736   0.256    96.631142   59.339420  214.935867   53.044895   0.1729  -8.0102   0.0876   0.1637   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0096     0.0143     0.0198     0.0057    -0.0055
  20.478  0.324  -0.495   0.614   1.219  13.73  6 9.00    6731.  7.88   8 10.0110  0.758   13.571    0.013  -0.314   0.131    96.864182   59.330795  214.795486   53.129143   0.1861  -8.0113   0.0943   0.1751   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0016     0.0127     0.0025    -0.0129    -0.0049
  18.197  1.485   1.178   1.927   3.743  10.37  5 7.10    3743.  4.98  11 12.1928  0.192    9.179    0.305  -0.449   0.332    96.812408   59.968666  214.142960   52.626690   0.1781  -8.0106   0.0885   0.1692   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0302     0.0300     0.0195    -0.0350     0.0051
  22.661  1.704   1.456   2.960   5.603  14.46  5 7.45    3103.  4.95   6  6.0054  0.104   11.598    0.148   0.216   0.002    96.044411   59.707104  214.905212   52.572247   0.1962  -8.0104   0.0984   0.1844   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0079     0.0110    -0.0368     0.0062     0.0032
  22.710  1.775   1.404   3.011   5.633  14.20  5 7.45    3130.  5.13   7  8.3888  0.142   11.521    0.153  -0.125   0.055    96.094704   59.355637  215.258789   52.852047   0.2157  -8.0117   0.1093   0.2006   0.067    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0317    -0.0039    -0.0011     0.0089     0.0203
