#Object	RA	e_RA	Dec	e_Dec	Distance	e_Distance	FeH	e_FeH	Parallax	e_Parallax	Teff_J-PLUS_W	e_Teff_J-PLUS_W	Teff_J-PLUS_Y	e_Teff_J-PLUS_Y	Teff_LAMOST	e_Teff_LAMOST	Tspec	e_Tspec	logg	e_logg
1608035725558792576	215.1428215	1.2305555555555556e-08	53.07316102	1.25e-08	346.555237	7.201263499999982	-0.2202	0	2.8502	0.0522	3816.394281	0	5769.0654	0	nan	nan	3618.2463	0	4.8069	0
1607890486945637888	213.8784121	7.583333333333333e-09	52.37812232	7.638888888888889e-09	453.770782	7.652313499999991	nan	0	2.1756	0.0333	4105.44548	0	4064.0603	0	nan	nan	nan	0	nan	0
1607896431180404992	214.1768512	8.77777777777778e-09	52.2189861	8.833333333333335e-09	614.253052	15.446899500000029	0.1484	0	1.6	0.0385	4214.700436	0	4099.4761	0	nan	nan	4306.3589	0	4.6401	0
1608034282449793920	215.2688531	1.375e-08	52.99305445	1.3666666666666667e-08	1688.88013	183.76342499999998	-0.5917	0	0.5489	0.0566	5097.952252	0	5002.1772	0	5222.37	0	4923.7153	0	4.7024	0
1608038921014447488	215.0782538	2.777777777777778e-09	53.10563408	3.0555555555555555e-09	607.740845	4.2036135	-0.3203	0	1.6166	0.0126	5687.01968	0	5601.6313	0	nan	nan	5544.0342	0	4.4528	0
1608078327338711552	213.8321025	2.2666666666666668e-08	52.4206387	2.4305555555555553e-08	512.561707	30.652144999999962	-0.4125	0	1.9439	0.1029	4543.578874	0	6647.5923	0	nan	nan	3474.2659	0	4.7449	0
1607896431180404864	214.1777921	1.2444444444444444e-08	52.21747833	1.25e-08	1669.86023	140.07855499999994	-0.8297	0	0.5677	0.0539	5307.425236	0	5202.1143	0	nan	nan	5103.5249	0	4.6035	0
1607987342751680384	215.2861942	5.2833333333333337e-08	52.98038633	5.533333333333333e-08	886.358032	141.6648255	nan	0	1.1055	0.2198	nan	nan	58019.8516	0	nan	nan	nan	0	nan	0
1607908212273837440	214.1369054	2.1055555555555557e-08	52.23046774	1.9833333333333336e-08	1724.94165	262.13110499999993	-0.5829	0	0.5892	0.0867	4677.127653	0	4510.7422	0	nan	nan	4469.7119	0	4.6592	0
1607886084603109760	214.0036615	2.633333333333333e-08	52.28943789	2.4694444444444446e-08	850.359924	73.13214099999999	-1.1298	0	1.1738	0.1119	4230.71906	0	4002.2949	0	nan	nan	3604.0701	0	4.4822	0
1607885814021233536	214.0467929	1.1694444444444444e-08	52.26686633	1.1833333333333333e-08	859.8078	40.97412149999997	0.0707	0	1.1352	0.0504	4231.873251	0	4068.9319	0	nan	nan	4400.6084	0	4.6558	0
1607895572186965376	214.3169203	1.4388888888888888e-08	52.17762378	1.3416666666666668e-08	1568.88293	133.03363000000002	-0.4544	0	0.6143	0.0594	4561.524312	0	4480.772	0	nan	nan	4374.3545	0	4.4904	0
1607987072169276160	215.3096169	2.1666666666666666e-09	52.96753856	2.388888888888889e-09	425.04184	1.812072999999998	-0.2899	0	2.3125	0.0096	6123.035551	0	6021.748	0	6013.13	0	6006.127	0	4.2198	0
1608078228555992064	213.8371406	2.8055555555555556e-08	52.40450789	2.8083333333333333e-08	755.159607	67.80996700000003	-1.1588	0	1.2698	0.1226	nan	nan	62934.0117	0	nan	nan	3474.449	0	4.4319	0
1608041253180776320	215.1948176	3.0277777777777777e-09	53.05820904	3.4166666666666667e-09	1749.26111	39.28789999999992	-0.1799	0	0.5404	0.0136	5141.602142	0	5031.5376	0	4997.12	0	5201.9165	0	3.6221	0
1607895189932968704	214.3134842	1.7055555555555557e-08	52.17191203	1.6027777777777778e-08	2288.99414	393.18499999999995	-0.978	0	0.4248	0.07	5246.508081	0	5293.2949	0	nan	nan	5025.0005	0	4.7083	0
